11.1584 1.5522 1.5522 3.3360
11.4031 1.8548 1.8548 2.5617
11.6538 1.7399 1.7399 1.9088
11.9108 1.4301 1.4301 1.4478
12.1749 1.0951 1.0951 1.0062
12.4467 1.0238 1.0238 0.9657
12.7268 1.0521 1.0521 1.0082
13.0161 0.9390 0.9390 0.9356
13.3153 0.8926 0.8926 0.8937
13.6253 0.8454 0.8454 0.8022
13.9470 0.7679 0.7679 0.8742
14.2811 0.7147 0.7147 0.7090
14.6295 0.6501 0.6501 0.5647
14.9928 0.6550 0.6550 0.5983
15.3731 0.6174 0.6174 0.4786
15.7713 0.5669 0.5669 0.3741
16.1895 0.5516 0.5516 0.3987
16.6297 0.5312 0.5312 0.3510
17.0941 0.5059 0.5059 0.3285
17.5849 0.4486 0.4486 0.3086
18.1058 0.4401 0.4401 0.2994
18.6592 0.3886 0.3886 0.2735
19.2491 0.3710 0.3710 0.2575
19.8796 0.3267 0.3267 0.2067
20.5559 0.2855 0.2855 0.1565
21.2834 0.2559 0.2559 0.1205
22.0690 0.2098 0.2098 0.0773
22.9200 0.1816 0.1816 0.0494
23.8457 0.1778 0.1778 0.0488
24.8568 0.1570 0.1570 0.0436
25.9665 0.1215 0.1215 0.0347
27.1900 0.0990 0.0990 0.0266
28.5465 0.0823 0.0823 0.0225
30.0590 0.0699 0.0699 0.0172
31.7564 0.0577 0.0577 0.0123
33.6752 0.0483 0.0483 0.0090
35.8614 0.0390 0.0390 0.0059
38.3751 0.0287 0.0287 0.0035
41.2951 0.0205 0.0205 0.0023
44.7278 0.0138 0.0138 0.0015
48.8199 0.0043 0.0043 0.0006
53.7790 0.0005 0.0005 0.0003
59.9102 0.0002 0.0002 0.0002
67.6799 0.0001 0.0001 0.0001
77.8386 0.0001 0.0001 0.0001
91.6770 0.0000 0.0000 0.0000
111.6182 0.0000 0.0000 0.0000
142.8089 0.0000 0.0000 0.0000
   
   
   
   
   
dim="1">gridpoints</dimension>   
   
   
   
   
   
   
